"","geoid","compost_points","enf_points","gascapture_points","insp_points","landdisposal_points","leachate_points","msw_points","tire_points","transfer_points","wte_points","sw_points","percentile_rank"
"421",27053012003,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"422",27053020302,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"423",27053020500,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"424",27053020902,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"425",27053021001,NA,4,NA,3,NA,NA,NA,NA,NA,NA,7,61.1410118406889
"426",27053021601,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"427",27053021800,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"428",27053022101,NA,1.5,NA,NA,NA,NA,NA,NA,6,NA,7.5,63.8320775026911
"429",27053022102,NA,1.5,NA,NA,NA,NA,NA,NA,1.5,NA,3,34.983853606028
"430",27053022400,NA,0.5,NA,NA,NA,NA,NA,NA,6,NA,6.5,58.4499461786868
"431",27053023000,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"432",27053023401,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4.5,47.7933261571582
"433",27053023402,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"434",27053023801,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"435",27053023903,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"436",27053024100,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"437",27053024400,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"438",27053024500,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"439",27053024600,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"440",27053024904,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"441",27053025100,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"442",27053025201,NA,2,NA,1,NA,NA,NA,NA,NA,NA,3,34.983853606028
"443",27053025403,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"444",27053025702,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"445",27053025906,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"446",27053025907,NA,1.5,NA,NA,NA,NA,NA,NA,0.75,NA,2.25,31.3240043057051
"447",27053025908,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"448",27053026005,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"449",27053026201,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"450",27053026205,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"451",27053026208,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"452",27053026302,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"453",27053026404,NA,0.5,NA,1,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"454",27053026406,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"455",27053026505,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"456",27053026507,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"457",27053026516,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"458",27053026724,NA,0.5,NA,1,NA,NA,NA,4.2,6.6,NA,12.3,79.3326157158235
"459",27053026822,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"460",27053026828,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"461",27053026903,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"462",27053026906,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"463",27053026911,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"464",27053027102,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"465",27053027203,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"466",27053027300,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4.5,47.7933261571582
"467",27053027503,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"468",27053027504,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"469",27053027601,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,7,61.1410118406889
"470",27053027602,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"471",27053027701,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"472",27053100400,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"473",27053100500,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"474",27053101600,NA,10,NA,1,NA,NA,NA,0.5,3,NA,14.5,83.2077502691066
"475",27053102500,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"476",27053102600,NA,3,NA,NA,NA,NA,NA,1,0.5,NA,4.5,47.7933261571582
"477",27053104002,NA,7,NA,NA,NA,NA,NA,4,4,NA,15,84.0688912809473
"478",27053104100,NA,0.5,NA,NA,NA,NA,NA,0.2,0.6,0.8,2.1,30.7857911733046
"479",27053105100,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"480",27053105201,NA,5.5,NA,NA,NA,NA,NA,0.2,0.6,0.8,7.1,63.4015069967707
"481",27053105204,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"482",27053105700,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"483",27053106000,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"484",27053106200,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"485",27053107400,NA,4.5,NA,NA,NA,NA,NA,NA,0.75,NA,5.25,52.2066738428418
"486",27053108900,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"487",27053109100,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
"488",27053110100,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.1636167922497
