"","geoid","compost_points","enf_points","gascapture_points","insp_points","landdisposal_points","leachate_points","msw_points","tire_points","transfer_points","wte_points","sw_points","percentile_rank"
"1",27001770100,0.2,NA,NA,1,NA,NA,NA,NA,3,NA,4.2,47.470398277718
"2",27001770300,2,2,NA,2,NA,NA,NA,NA,6,NA,12,78.0409041980624
"3",27001790503,2,NA,NA,1,1,1,NA,NA,NA,NA,4,43.4876210979548
"4",27003050210,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"5",27003050215,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"6",27003050829,0.2,0.5,NA,1,NA,NA,NA,4,12,NA,17.7,87.9440258342304
"7",27003051600,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"8",27005450300,2,27,NA,3,NA,NA,NA,NA,NA,NA,32,96.7707212055974
"9",27007450102,2,2,NA,1,NA,1,5,NA,1.5,NA,11.5,77.0721205597416
"10",27009020202,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"11",27009020205,2,6.5,NA,1,NA,1,6,NA,NA,NA,15.5,85.037674919268
"12",27009020206,0.5,NA,NA,NA,NA,0.25,NA,NA,0.25,NA,0.75,6.9967707212056
"13",27009020300,2,10,NA,NA,NA,NA,NA,NA,12.6,NA,24.6,93.756727664155
"14",27009021104,2,1.5,NA,1,NA,NA,NA,NA,1,NA,5.5,52.4219590958019
"15",27009021201,1,5.5,NA,1,NA,NA,NA,NA,9,NA,16.5,86.0064585575888
"16",27013170300,1,2,NA,NA,NA,NA,NA,NA,6.1,8,17.1,87.1905274488697
"17",27013171500,4,15.5,NA,1,NA,NA,NA,NA,NA,NA,20.5,89.8815931108719
"18",27015960400,2,23,NA,4,0.1,3,14.25,NA,1,NA,44.35,99.4617868675996
"19",27019090101,3,0.5,NA,1,NA,NA,NA,NA,NA,NA,4.5,47.7933261571582
"20",27019090102,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"21",27019090200,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"22",27019090501,2,4.5,NA,NA,NA,NA,NA,NA,NA,NA,6.5,58.4499461786868
"23",27019090502,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"24",27019090703,4,2.5,NA,NA,NA,NA,NA,1,0.25,NA,7.75,65.6620021528525
"25",27019090802,2,NA,NA,NA,NA,NA,NA,4,1,NA,7,61.1410118406889
"26",27019090902,1,NA,NA,NA,NA,NA,NA,4,1,NA,6,55.1130247578041
"27",27019091001,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.968783638320775
"28",27019091202,2,NA,NA,NA,NA,NA,NA,NA,6,NA,8,65.8772874058127
"29",27021960200,2,1.5,NA,1,NA,1,4,NA,NA,NA,8.5,68.1377825618945
"30",27021960302,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"31",27021960600,6,16,NA,5,NA,1,6,4,6,NA,43,99.0312163616792
"32",27021960801,2,1.5,NA,1,NA,1,7,NA,3,NA,14.5,83.2077502691066
"33",27025110201,2,1.5,NA,1,NA,1,7,NA,NA,NA,11.5,77.0721205597416
"34",27025110202,1,NA,NA,NA,NA,0.1,NA,NA,NA,NA,1,8.18083961248654
"35",27025110301,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"36",27025110501,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"37",27025110503,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"38",27025110700,4,NA,NA,4,NA,NA,NA,NA,NA,NA,8,65.8772874058127
"39",27027020400,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"40",27027020500,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"41",27027020600,4,2,NA,NA,NA,NA,NA,NA,NA,NA,6,55.1130247578041
"42",27027030109,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"43",27027030111,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"44",27027030201,3,11.5,2,6,1,2,13,2,3,NA,41.5,98.708288482239
"45",27029000100,2,NA,NA,1,NA,1,4,4,1,NA,12,78.0409041980624
"46",27031480102,4,9,NA,4,NA,1,NA,NA,2,NA,19,88.5898815931109
"47",27035950100,2,3.5,NA,NA,NA,NA,NA,NA,1,NA,6.5,58.4499461786868
"48",27035950802,4,14.5,2,3,2,7,11,4,NA,NA,40.5,98.6006458557589
"49",27035950901,2,NA,NA,NA,NA,NA,NA,NA,1,NA,3,34.983853606028
"50",27035951301,2,1.5,NA,NA,NA,NA,NA,NA,0.5,NA,4,43.4876210979548
"51",27035951303,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,2.2,31.1087190527449
"52",27035951304,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"53",27037060301,1,3,NA,2,NA,NA,NA,NA,NA,NA,6,55.1130247578041
"54",27037060402,2,NA,NA,NA,NA,1,7,NA,NA,NA,9,69.967707212056
"55",27037060503,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.968783638320775
"56",27037060508,6,14,4,6,1,6,8,NA,NA,NA,39,98.1700753498385
"57",27037060509,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,1.2,11.6254036598493
"58",27037060603,0.4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.9,25.5113024757804
"59",27037060710,0.2,10,4,5,1,6,8,NA,6,NA,34.2,97.4165769644779
"60",27037060711,2,1.5,NA,NA,0.5,NA,NA,NA,NA,NA,4,43.4876210979548
"61",27037060717,2,4,NA,3,NA,NA,NA,NA,NA,NA,9,69.967707212056
"62",27037060725,0.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"63",27037060726,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"64",27037060727,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.968783638320775
"65",27037060737,2,3.5,NA,NA,0.1,NA,NA,NA,NA,NA,5.6,54.5748116254037
"66",27037060748,2,NA,NA,NA,1,NA,NA,NA,6,NA,9,69.967707212056
"67",27037061001,4,7.5,NA,3,NA,NA,8,NA,4,NA,26.5,94.6178686759957
"68",27037061003,8,26.5,2,1,0.5,9,0.8,NA,1.3,NA,40.1,98.4930032292788
"69",27037061102,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"70",27037061105,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"71",27037061106,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"72",27037061111,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"73",27037061502,2,NA,NA,NA,NA,NA,NA,NA,1,NA,3,34.983853606028
"74",27039950400,2,2.5,NA,3,NA,NA,NA,NA,NA,NA,7.5,63.8320775026911
"75",27041450200,4.4,1,2,1,NA,1,6,NA,4,NA,18.4,88.3745963401507
"76",27041450500,2,12.5,NA,5,NA,1,6,NA,3,NA,28.5,95.9095801937567
"77",27041451000,4,NA,NA,NA,NA,0.1,NA,NA,NA,NA,4,43.4876210979548
"78",27043460300,1,7,NA,3,NA,NA,NA,NA,NA,NA,11,76.210979547901
"79",27043460400,2,4,NA,3,NA,NA,NA,NA,NA,NA,9,69.967707212056
"80",27045960100,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,43.4876210979548
"81",27045960300,2,13,NA,9,NA,NA,NA,NA,NA,NA,24,92.6803013993541
"82",27045960400,2,34.5,NA,4,NA,NA,NA,2,1,NA,43.5,99.3541442411195
"83",27047180400,0.5,NA,NA,NA,NA,0.25,1,NA,1.5,NA,3,34.983853606028
"84",27047180500,2,1,NA,NA,NA,1,4,NA,6,NA,13,80.5166846071044
"85",27047180700,0.5,3,NA,5,NA,2,12,NA,7.5,NA,28,95.8019375672766
"86",27049080101,2,8,NA,NA,NA,1,1.75,2,1,0.8,15.55,85.6835306781485
"87",27049080201,1,7.5,NA,2,NA,2,7.75,0.5,0.25,8,27,94.8331539289559
"88",27049080202,2,5.5,NA,3,NA,1,7,2,1,NA,20.5,89.8815931108719
"89",27049080400,2.5,18.5,NA,1,NA,0.1,0.7,1,0.5,NA,24.2,93.2185145317546
"90",27051070200,4,1,NA,NA,NA,1,1.5,NA,0.8,NA,7.3,63.6167922497309
"91",27053026015,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"92",27053026023,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"93",27053026028,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"94",27053026514,2,4,NA,1,NA,NA,NA,NA,NA,NA,7,61.1410118406889
"95",27053026609,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.18083961248654
"96",27053026611,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"97",27053026707,0.5,NA,NA,NA,NA,NA,NA,1,3,NA,4.5,47.7933261571582
"98",27053026708,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,34.983853606028
"99",27053026725,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"100",27053026726,1,2,NA,NA,NA,NA,NA,3,7.5,NA,13.5,82.2389666307858
"101",27053026912,2,6.5,NA,NA,NA,NA,NA,NA,NA,NA,8.5,68.1377825618945
"102",27053027702,0.5,3,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"103",27053027703,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"104",27053104001,1,NA,NA,NA,NA,NA,NA,2.2,4.75,NA,7.95,65.7696447793326
"105",27053104901,0.2,5,NA,NA,NA,NA,NA,NA,0.6,NA,5.8,54.8977395048439
"106",27053104902,0.5,NA,NA,NA,NA,NA,NA,NA,6,NA,6.5,58.4499461786868
"107",27053125600,2,1.5,NA,NA,NA,NA,NA,NA,6,NA,9.5,71.9052744886975
"108",27057070100,2,1,NA,7,NA,1,5,4,1,NA,20,89.3433799784715
"109",27057070600,1,2.5,NA,NA,NA,1,6,4,3,NA,16.5,86.0064585575888
"110",27057070700,2,0.5,NA,1,NA,1,1.5,1,0.75,NA,6.75,61.0333692142088
"111",27059130502,2,20,NA,4,NA,NA,NA,NA,NA,NA,26,94.1872981700754
"112",27061480301,2,1,NA,1,NA,1,6,4,3,NA,17,86.5446716899892
"113",27061480302,2,1.5,NA,NA,NA,NA,NA,NA,1,NA,4.5,47.7933261571582
"114",27061480702,2,NA,NA,NA,NA,NA,NA,NA,1,NA,3,34.983853606028
"115",27061480805,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,2.2,31.1087190527449
"116",27061480901,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"117",27061480902,2,24.5,NA,5,NA,1.5,0.6,0.4,0.3,NA,32.8,96.8783638320775
"118",27065480400,2,4,2,2,NA,3,8,2,NA,NA,20,89.3433799784715
"119",27067780200,2,7,2,1,NA,1,8,4,NA,NA,24,92.6803013993541
"120",27067780300,2,3.5,2,NA,1,1,8,4,NA,NA,20.5,89.8815931108719
"121",27067780600,2,8.5,NA,5,NA,NA,NA,NA,9,NA,24.5,93.4337997847148
"122",27071790201,2,4,0.5,2,NA,1.25,4,4,3,NA,19.5,89.0204520990312
"123",27073180100,2,7.5,NA,NA,NA,1,4,2,NA,NA,15.5,85.037674919268
"124",27075370101,2,3,NA,NA,NA,1,4,2,NA,NA,11,76.210979547901
"125",27075370400,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"126",27079950200,2,4,NA,1,NA,NA,NA,NA,3,NA,10,73.6275565123789
"127",27079950300,2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,4.5,47.7933261571582
"128",27079950400,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"129",27083360500,2,4,NA,3,NA,NA,NA,NA,2,NA,11,76.210979547901
"130",27083360600,2,30,2,5,NA,4,16,4,1,NA,60,100
"131",27083360700,2,1.5,NA,1,NA,NA,NA,NA,NA,NA,4.5,47.7933261571582
"132",27085950200,1,17,2,1,NA,3,12,NA,NA,NA,33,96.9860064585576
"133",27085950301,4,2.5,NA,NA,NA,NA,NA,4,1,NA,11.5,77.0721205597416
"134",27085950302,1,NA,NA,NA,NA,NA,NA,0.4,0.1,NA,1.5,12.1636167922497
"135",27091790100,4,10.5,NA,2,NA,NA,NA,NA,1,NA,17.5,87.4058127018299
"136",27093560100,2,7,NA,NA,NA,NA,NA,NA,NA,NA,9,69.967707212056
"137",27093560200,0.2,11,NA,2,NA,1,6,2,3,NA,24.2,93.2185145317546
"138",27093560300,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"139",27093560400,2,1,NA,NA,NA,0.1,NA,0.2,NA,NA,3.2,40.9041980624327
"140",27095170700,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"141",27097780100,0.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"142",27097780200,2,7,NA,1,NA,1,4,NA,1,NA,15,84.0688912809473
"143",27097780400,2,3,NA,NA,NA,NA,NA,NA,NA,NA,5,50.2691065662002
"144",27097780500,0.2,6.5,NA,NA,NA,NA,NA,NA,NA,NA,6.7,60.9257265877287
"145",27097780600,2,7.5,NA,NA,NA,NA,NA,NA,NA,NA,9.5,71.9052744886975
"146",27097780700,2,3.5,NA,2,NA,NA,NA,NA,NA,NA,7.5,63.8320775026911
"147",27099000100,2,8,NA,1,NA,NA,0.8,NA,3.3,NA,15.1,84.930032292788
"148",27099000900,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"149",27099001000,2,32,NA,1,NA,1,8,NA,4.5,NA,47.5,99.6770721205597
"150",27099001400,0.2,17.5,NA,12,NA,NA,NA,NA,NA,NA,29.7,96.232508073197
"151",27103480200,2,8,NA,NA,NA,NA,NA,NA,3,NA,13,80.5166846071044
"152",27103480501,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,34.983853606028
"153",27103480502,0.2,NA,NA,1,NA,NA,NA,NA,3,4,8.2,67.9224973089343
"154",27103480600,2,NA,NA,NA,NA,NA,NA,NA,3.5,NA,5.5,52.4219590958019
"155",27105105100,2,3,2,1,1,1,7,NA,1,NA,17,86.5446716899892
"156",27109000200,0.5,NA,NA,NA,NA,NA,NA,NA,0.25,4,4.75,50.05382131324
"157",27109000901,0.2,2,NA,NA,NA,NA,NA,NA,1,0.4,3.6,43.1646932185145
"158",27109002100,2,8.5,NA,NA,NA,NA,NA,NA,3,NA,13.5,82.2389666307858
"159",27109002200,2,28,NA,4,NA,NA,NA,NA,3,NA,37,97.9547900968784
"160",27109002300,2,NA,NA,NA,NA,NA,NA,NA,1.1,4,7.1,63.2938643702906
"161",27111960500,2,1,NA,5,NA,1,6,4,4,4,26,94.1872981700754
"162",27111960600,2.5,4,NA,3,NA,1.1,2.75,2,0.5,NA,14.75,83.8536060279871
"163",27111961000,2,6.5,2,3,NA,1,6.25,NA,1,NA,20.75,90.4198062432723
"164",27111961200,0.2,4,NA,NA,NA,NA,NA,NA,0.6,NA,4.8,50.1614639397201
"165",27111961300,2,NA,NA,1,NA,1,5,4,1,NA,13,80.5166846071044
"166",27111961600,2,NA,NA,NA,NA,NA,NA,NA,6,NA,8,65.8772874058127
"167",27115950500,2,8.5,NA,3,NA,NA,NA,2,3,NA,18.5,88.4822389666308
"168",27117460100,2,18,NA,1,NA,1,5,NA,NA,NA,26,94.1872981700754
"169",27119020500,4,2,NA,1,1.1,NA,NA,NA,NA,NA,8.1,67.7072120559742
"170",27121970100,2,3.5,NA,1,NA,1,6,2,1,NA,15.5,85.037674919268
"171",27123030100,0.5,NA,NA,NA,NA,NA,NA,2,6,NA,8.5,68.1377825618945
"172",27123031900,1,1.5,NA,NA,NA,NA,NA,0.2,7.8,NA,10.5,74.8116254036599
"173",27123032000,1,NA,NA,NA,NA,NA,NA,NA,6,NA,7,61.1410118406889
"174",27123032100,2,NA,NA,NA,NA,NA,NA,NA,0.6,NA,2.6,34.8762109795479
"175",27123032200,2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,4.5,47.7933261571582
"176",27123032300,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"177",27123033200,0.7,9,NA,NA,NA,NA,NA,NA,0.6,NA,10.3,74.5963401506997
"178",27123033300,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.968783638320775
"179",27123033400,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"180",27123035000,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.968783638320775
"181",27123035200,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.968783638320775
"182",27123035300,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.968783638320775
"183",27123035700,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,25.6189451022605
"184",27123035800,0.4,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0.65,6.88912809472551
"185",27123035900,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,3.01399354144241
"186",27123036000,2,NA,NA,NA,NA,NA,NA,0.5,1.5,NA,4,43.4876210979548
"187",27123036800,2,NA,NA,NA,NA,NA,NA,NA,1,NA,3,34.983853606028
"188",27123036900,4,NA,NA,NA,NA,NA,NA,NA,0.5,NA,4.5,47.7933261571582
"189",27123037000,1,1.5,NA,NA,NA,NA,NA,2,6,NA,10.5,74.8116254036599
"190",27123037403,2,NA,NA,NA,NA,NA,NA,NA,1,NA,3,34.983853606028
"191",27123040102,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"192",27123040200,2,3.5,NA,NA,NA,NA,NA,NA,NA,NA,5.5,52.4219590958019
"193",27123040502,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"194",27123040901,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"195",27123040902,0.2,0.5,NA,1,NA,NA,NA,NA,NA,NA,1.7,25.1883745963402
"196",27123041001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"197",27123041002,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.968783638320775
"198",27123041301,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.33692142088267
"199",27123041302,0.5,3,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"200",27123041400,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"201",27123041500,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.968783638320775
"202",27123041800,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"203",27123042504,1,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1.5,12.1636167922497
"204",27123980000,0.2,0.5,NA,NA,NA,NA,NA,NA,0.1,NA,0.8,7.64262648008611
"205",27127750500,2,5.5,NA,2,NA,NA,NA,NA,NA,NA,9.5,71.9052744886975
"206",27129790600,2,3.5,NA,1,NA,NA,NA,NA,NA,NA,6.5,58.4499461786868
"207",27131070101,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"208",27131070102,2,4.5,NA,1,NA,NA,NA,NA,NA,NA,7.5,63.8320775026911
"209",27131070200,3.5,17.5,NA,2,1,2,15,4,3,NA,46,99.5694294940797
"210",27131070504,1,0.5,NA,1,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"211",27131070602,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"212",27131070702,2,1,NA,NA,NA,0.6,0.4,NA,NA,NA,3.4,41.1194833153929
"213",27131070901,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"214",27137003800,9,6.5,2,1,NA,1,8,NA,1,NA,27.5,95.3713670613563
"215",27137010100,2,1.5,NA,NA,NA,NA,NA,NA,4,NA,7.5,63.8320775026911
"216",27137010200,4.25,NA,0.5,NA,NA,0.25,2,NA,2,NA,8.75,69.8600645855759
"217",27137010302,0.5,1.5,NA,NA,NA,NA,NA,NA,0.55,NA,2.55,34.7685683530678
"218",27137012800,4,2.5,NA,1,NA,NA,NA,NA,NA,NA,7.5,63.8320775026911
"219",27137013200,2,3.5,2,1,NA,3,8,4,6,NA,26.5,94.6178686759957
"220",27137013500,0.2,1.5,1,NA,NA,1.5,4,2,3,NA,11.7,77.9332615715823
"221",27137015600,4,8,NA,1,NA,NA,NA,2,12,NA,27,94.8331539289559
"222",27139080600,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.968783638320775
"223",27139080700,5,2,NA,NA,NA,3,8,6,6,NA,27,94.8331539289559
"224",27139080801,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,2.5,31.8622174381055
"225",27139080802,5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,8.5,68.1377825618945
"226",27141030103,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"227",27141030105,2,3,NA,NA,NA,NA,NA,NA,NA,NA,5,50.2691065662002
"228",27141030106,0.2,17,4,4,NA,6,8,2,NA,NA,35.2,97.7395048439182
"229",27141030202,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,41.227125941873
"230",27141030407,8,6.5,2,5,NA,4,16,2,NA,NA,39.5,98.3853606027987
"231",27141030503,2.5,NA,NA,NA,NA,NA,NA,2,6,NA,10.5,74.8116254036599
"232",27141030504,4,NA,NA,NA,NA,NA,NA,2,6,NA,12,78.0409041980624
"233",27141030506,0.2,NA,NA,NA,NA,NA,NA,NA,0.6,NA,0.8,7.64262648008611
"234",27143170400,1,12,NA,NA,NA,NA,NA,NA,NA,NA,13,80.5166846071044
"235",27145010101,2,3.5,NA,1,NA,NA,NA,NA,NA,NA,6.5,58.4499461786868
"236",27145011000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25.6189451022605
"237",27145011302,8,3,NA,1,NA,1,7,2,1,NA,22,91.280947255113
"238",27145011500,4,9.5,NA,5,NA,NA,NA,NA,3,NA,21.5,90.8503767491927
"239",27147960100,2,20.5,NA,NA,NA,NA,NA,NA,0.6,NA,23.1,92.465016146394
"240",27147960800,2,11,NA,NA,1,NA,1.75,0.4,6,NA,22.15,91.8191603875134
"241",27149480300,2,0.5,NA,1,NA,1,6,NA,3,NA,12.5,79.4402583423036
"242",27151960200,2,2,NA,1,NA,NA,NA,NA,3,NA,8,65.8772874058127
"243",27151960300,4,2,NA,1,NA,NA,NA,NA,3,NA,10,73.6275565123789
"244",27153790100,2,9.5,NA,NA,NA,NA,NA,NA,NA,NA,11.5,77.0721205597416
