"","GEOID","enf_points","insp_points","hw_points","percentile_rank"
"912",27109000903,10,1,11,82.5449700199867
"913",27059130501,7,NA,7,74.4836775483011
"914",27059130502,7,3,10,81.0126582278481
"915",27015960102,1.5,1,2.5,55.0966022651566
"916",27131070602,10.5,1,11.5,83.6775483011326
"917",27131070902,20,2,22,94.0039973351099
"918",27145010500,3,2,5,67.9546968687542
"919",27035951301,11,3,14,87.1419053964024
"920",27009020203,17,NA,17,90.1399067288474
"921",27009021102,42,4,46,99.0672884743504
"922",27053026301,NA,NA,0,0
"923",27053027001,NA,NA,0,0
"924",27025110501,2,NA,2,50.7661558960693
"925",27037060605,21.5,NA,21.5,93.7375083277815
"926",27037060748,2.5,1,3.5,61.4923384410393
"927",27037060714,NA,NA,0,0
"928",27037060711,4,NA,4,63.5576282478348
"929",27037060746,NA,NA,0,0
"930",27037060829,NA,NA,0,0
"931",27037061401,NA,NA,0,0
"932",27163070405,NA,NA,0,0
"933",27163071012,18.5,2,20.5,93.2711525649567
"934",27163071016,NA,NA,0,0
"935",27139080204,NA,NA,0,0
"936",27123042800,4.5,NA,4.5,66.3557628247835
"937",27123042503,NA,NA,0,0
"938",27171101200,4.5,1,5.5,69.8201199200533
"939",27159480200,11.5,NA,11.5,83.6775483011326
"940",27001770402,2.5,NA,2.5,55.0966022651566
"941",27017070501,14.5,NA,14.5,87.8081279147235
"942",27141030105,NA,NA,0,0
"943",27141030106,1.5,NA,1.5,45.9027315123251
"944",27141030410,8.5,1,9.5,79.9467021985343
"945",27141030506,12,NA,12,84.2105263157895
"946",27025110201,2,NA,2,50.7661558960693
"947",27025110503,1.5,NA,1.5,45.9027315123251
"948",27115950100,2,NA,2,50.7661558960693
"949",27137010601,5.5,NA,5.5,69.8201199200533
"950",27079950101,5.5,NA,5.5,69.8201199200533
"951",27023950601,35,2,37,98.201199200533
"952",27035950701,NA,NA,0,0
"953",27007450102,3,NA,3,58.2278481012658
"954",27041450704,50,5,55,99.5336442371752
"955",27131070101,3,NA,3,58.2278481012658
"956",27021960804,0.5,NA,0.5,35.8427714856762
"957",27131070702,3.5,NA,3.5,61.4923384410393
"958",27145011102,5.5,1,6.5,73.217854763491
"959",27145000502,6,1,7,74.4836775483011
"960",27145010104,1,NA,1,40.7728181212525
"961",27145011307,1.5,1,2.5,55.0966022651566
"962",27091790502,4,1,5,67.9546968687542
"963",27171101101,0.5,1,1.5,45.9027315123251
"964",27171100402,5,NA,5,67.9546968687542
"965",27171100806,0.5,1,1.5,45.9027315123251
"966",27171100102,1,NA,1,40.7728181212525
"967",27171101102,NA,NA,0,0
"968",27123034204,4,1,5,67.9546968687542
"969",27123043001,NA,NA,0,0
"970",27037060839,NA,NA,0,0
"971",27053027204,0.5,NA,0.5,35.8427714856762
"972",27053027701,1,NA,1,40.7728181212525
"973",27053026023,NA,NA,0,0
"974",27061480804,3.5,NA,3.5,61.4923384410393
"975",27053026028,0.5,NA,0.5,35.8427714856762
"976",27061480102,NA,NA,0,0
"977",27061480402,1,1,2,50.7661558960693
"978",27061480301,4,NA,4,63.5576282478348
"979",27061480702,4.5,NA,4.5,66.3557628247835
"980",27003050612,NA,NA,0,0
"981",27003050826,0.5,NA,0.5,35.8427714856762
"982",27003050241,1,NA,1,40.7728181212525
"983",27053026719,NA,NA,0,0
"984",27053026912,9,2,11,82.5449700199867
"985",27053026828,NA,NA,0,0
"986",27053026725,NA,NA,0,0
"987",27053026826,NA,NA,0,0
"988",27053027205,NA,NA,0,0
"989",27053026824,NA,NA,0,0
"990",27053025909,NA,NA,0,0
"991",27053026911,5,1,6,71.9520319786809
"992",27139080305,5.5,4,9.5,79.9467021985343
"993",27139080802,4,NA,4,63.5576282478348
"994",27139081302,6.5,NA,6.5,73.217854763491
"995",27139081001,NA,NA,0,0
"996",27139080209,NA,NA,0,0
"997",27139081002,NA,NA,0,0
"998",27139080304,20,4,24,95.3364423717522
"999",27019090101,NA,NA,0,0
"1000",27019090102,NA,NA,0,0
"1001",27019090802,NA,NA,0,0
"1002",27003050116,1.5,NA,1.5,45.9027315123251
"1003",27003051102,14,1,15,88.4077281812125
"1004",27013170300,52,1,53,99.400399733511
"1005",27015960600,21.5,NA,21.5,93.7375083277815
"1006",27041450500,4,NA,4,63.5576282478348
"1007",27019091100,NA,NA,0,0
"1008",27003050115,3,3,6,71.9520319786809
"1009",27003050111,NA,NA,0,0
"1010",27003050234,NA,NA,0,0
"1011",27003050709,7,NA,7,74.4836775483011
"1012",27073180100,9,1,10,81.0126582278481
"1013",27151960100,9,NA,9,78.8141239173884
"1014",27097780600,13.5,2,15.5,89.0073284477015
"1015",27097780100,0.5,NA,0.5,35.8427714856762
"1016",27123030703,NA,NA,0,0
"1017",27123035500,NA,NA,0,0
"1018",27123031200,NA,NA,0,0
"1019",27123032700,1.5,NA,1.5,45.9027315123251
"1020",27123035200,NA,NA,0,0
"1021",27123042401,3,NA,3,58.2278481012658
"1022",27079950400,2,NA,2,50.7661558960693
"1023",27083360500,36.5,NA,36.5,98.0013324450366
"1024",27123042602,7.5,NA,7.5,75.616255829447
"1025",27123041900,NA,NA,0,0
"1026",27123037403,NA,NA,0,0
"1027",27091790400,9,NA,9,78.8141239173884
"1028",27129790100,15.5,2,17.5,90.473017988008
"1029",27153790600,11.5,3,14.5,87.8081279147235
"1030",27049080400,1.5,NA,1.5,45.9027315123251
"1031",27147960600,2.5,NA,2.5,55.0966022651566
"1032",27099000200,2.5,NA,2.5,55.0966022651566
"1033",27099001400,8,NA,8,76.8820786142572
"1034",27107960100,NA,NA,0,0
"1035",27067780700,17.5,1,18.5,91.8720852764823
"1036",27043460200,7.5,NA,7.5,75.616255829447
"1037",27053020400,1,NA,1,40.7728181212525
"1038",27053021505,4.5,NA,4.5,66.3557628247835
"1039",27053026711,NA,NA,0,0
"1040",27053026507,11,1,12,84.2105263157895
"1041",27053105204,NA,NA,0,0
"1042",27053102600,18,2,20,92.871419053964
"1043",27053027102,NA,NA,0,0
"1044",27053021001,2,NA,2,50.7661558960693
"1045",27053026007,24.5,4,28.5,96.6688874083944
"1046",27053026907,NA,NA,0,0
"1047",27053025100,3,1,4,63.5576282478348
"1048",27053010600,NA,NA,0,0
"1049",27053026206,NA,NA,0,0
"1050",27053006800,NA,NA,0,0
"1051",27053107600,NA,NA,0,0
"1052",27053022700,4,NA,4,63.5576282478348
"1053",27053022802,6,2,8,76.8820786142572
"1054",27053026014,3,NA,3,58.2278481012658
"1055",27053022101,NA,1,1,40.7728181212525
"1056",27065480100,12.5,NA,12.5,85.0766155896069
"1057",27051070200,1.5,NA,1.5,45.9027315123251
"1058",27005450200,NA,NA,0,0
"1059",27045960100,8.5,1,9.5,79.9467021985343
"1060",27027030202,2,NA,2,50.7661558960693
"1061",27039950300,NA,NA,0,0
"1062",27163071102,12.5,NA,12.5,85.0766155896069
"1063",27163071003,10,NA,10,81.0126582278481
"1064",27115950300,10.5,NA,10.5,82.0119920053298
"1065",27037061501,2,NA,2,50.7661558960693
"1066",27037060735,NA,NA,0,0
"1067",27037060505,NA,NA,0,0
"1068",27149480200,16,2,18,91.4057295136576
"1069",27037060815,NA,NA,0,0
"1070",27061480303,NA,NA,0,0
"1071",27109001601,3,NA,3,58.2278481012658
"1072",27145011000,3.5,NA,3.5,61.4923384410393
"1073",27121970100,6.5,NA,6.5,73.217854763491
"1074",27021960801,1.5,1,2.5,55.0966022651566
"1075",27035951200,21.5,2,23.5,95.0033311125916
"1076",27019091001,1,NA,1,40.7728181212525
"1077",27019090801,NA,NA,0,0
"1078",27003050108,NA,NA,0,0
"1079",27003050402,1,1,2,50.7661558960693
"1080",27053126201,21,NA,21,93.5376415722851
"1081",27053025704,NA,NA,0,0
"1082",27053026027,NA,NA,0,0
"1083",27053980100,6,1,7,74.4836775483011
"1084",27003050821,3.5,NA,3.5,61.4923384410393
"1085",27053026505,NA,NA,0,0
"1086",27053026823,NA,NA,0,0
"1087",27027030111,2.5,NA,2.5,55.0966022651566
"1088",27169670102,NA,NA,0,0
"1089",27007450705,NA,NA,0,0
"1090",27169670802,8,2,10,81.0126582278481
"1091",27101900100,1.5,NA,1.5,45.9027315123251
"1092",27111960700,NA,NA,0,0
"1093",27081201002,4,NA,4,63.5576282478348
"1094",27013171600,1,1,2,50.7661558960693
"1095",27163070206,NA,NA,0,0
"1096",27163070704,6.5,1,7.5,75.616255829447
"1097",27023950300,10,1,11,82.5449700199867
"1098",27145000401,2,1,3,58.2278481012658
"1099",27155460100,7.5,NA,7.5,75.616255829447
"1100",27019090601,4,NA,4,63.5576282478348
"1101",27037060745,4,NA,4,63.5576282478348
"1102",27037061007,NA,NA,0,0
"1103",27139080201,10.5,1,11.5,83.6775483011326
"1104",27171101300,1,NA,1,40.7728181212525
"1105",27017070402,4,NA,4,63.5576282478348
"1106",27141030505,23,5,28,96.5356429047302
"1107",27141030406,NA,NA,0,0
"1108",27067780400,4.5,NA,4.5,66.3557628247835
"1109",27025110202,7,3,10,81.0126582278481
"1110",27137010602,21,1,22,94.0039973351099
"1111",27137011401,0.5,NA,0.5,35.8427714856762
"1112",27137015402,0.5,NA,0.5,35.8427714856762
"1113",27035951304,9,NA,9,78.8141239173884
"1114",27145011201,2.5,1,3.5,61.4923384410393
"1115",27145011305,1,1,2,50.7661558960693
